timestamp,trace_id,correlation_id,conversation_id,message_id,sender_agent,receiver_agent,message_type,performative,ontology,protocol,equipment_id,status,processing_time_ms
2026-07-20T10:45:06.442821Z,db36f8bd-bdd5-4a19-9987-b80bef4d5781,436a63f3-232e-4b2e-9c3d-aad824401bdc,3e092e3b-f511-4611-a940-0da3ad2e73e4,3a2bb65b-320d-4122-9019-71e3701c2b9b,historian@localhost,supervisor@localhost,heartbeat,inform,agent-health,indusguard-heartbeat,,sent,0
2026-07-20T10:45:06.698382Z,13209443-49a7-458f-8377-6d6781aa2d3d,17c0094a-ba48-4ea1-9312-acd35181e2d8,0d7e1ab9-1362-4a9b-bb6c-c1ae4f611fc3,2aaaaa9b-1e0d-4bc6-8541-e8f311d51094,alert@localhost,supervisor@localhost,heartbeat,inform,agent-health,indusguard-heartbeat,,sent,0
2026-07-20T10:45:06.942172Z,d578ab71-72e2-4d26-a5da-3a967014b48a,39d55c3e-b465-456a-8e6f-7bad988ac6d4,518d7e3b-9592-44d5-8372-eb17495e7f01,8ad4a344-803f-4c18-aa98-3b04ab631042,supervisor@localhost,supervisor@localhost,heartbeat,inform,agent-health,indusguard-heartbeat,,sent,0
2026-07-20T10:45:07.150189Z,7cb2e9fd-3a32-428b-b098-83acf2d83c19,3f295b13-231c-4146-b967-16205fbf15ac,07fc5392-ed70-47d4-8d0b-15f8513b6d3f,caea21bb-c3c3-48bb-9049-dcd16960b061,supervisor@localhost,vision@localhost,vision.analysis.request,request,industrial-vision,indusguard-pipeline,CONVEYOR-001,sent,0
2026-07-20T10:45:07.153183Z,a42feb9a-aa7a-4f78-962d-85bcc53d8733,9a28f8ba-536e-4c0b-ab15-d7346614b9b8,2d28d8bf-0c37-4a88-adf6-ff522ca1ea7a,f42093e2-c33a-4729-a0cb-1e7234764f04,vision@localhost,supervisor@localhost,heartbeat,inform,agent-health,indusguard-heartbeat,,sent,0
2026-07-20T10:45:12.251400Z,7cb2e9fd-3a32-428b-b098-83acf2d83c19,3f295b13-231c-4146-b967-16205fbf15ac,07fc5392-ed70-47d4-8d0b-15f8513b6d3f,43b648a2-0664-48d1-a46f-e1bdf063ab64,vision@localhost,supervisor@localhost,vision.detection,inform,industrial-vision,indusguard-pipeline,CONVEYOR-001,sent,0
2026-07-20T10:45:12.254469Z,7cb2e9fd-3a32-428b-b098-83acf2d83c19,3f295b13-231c-4146-b967-16205fbf15ac,07fc5392-ed70-47d4-8d0b-15f8513b6d3f,bcf7ec69-0f72-4582-8070-d69a45153b55,vision@localhost,historian@localhost,historian.event,inform,historian,indusguard-pipeline,CONVEYOR-001,sent,0
2026-07-20T10:45:12.259140Z,0c4a5f9e-ea47-4ef3-96cd-08760b3677f4,a17fbf82-4ad7-4766-a455-6d1028f5a68a,f530cc52-5fb3-4653-80c3-98d06a64451e,f02c66a7-78d9-4a12-8e16-b47a14f2405c,historian@localhost,supervisor@localhost,heartbeat,inform,agent-health,indusguard-heartbeat,,sent,0
2026-07-20T10:45:12.262144Z,732a330c-19d8-48a5-a0c7-2ae7fcb4cdb3,039242f5-f15a-4c5b-a2be-3b0fc00dda38,42ab5f9a-3264-4a6f-a485-60119717b57a,60e1de2b-10c4-4cf2-a3fd-6c5d8e6714b6,alert@localhost,supervisor@localhost,heartbeat,inform,agent-health,indusguard-heartbeat,,sent,0
2026-07-20T10:45:12.264809Z,d25a33cf-e25f-4be3-9f47-1182654dca44,11927ec2-6628-4ca3-a1f1-9f4a1ee6211f,a649818c-dea4-4a3c-a00d-bf5ad8b5c6dc,2850e08e-2468-4a22-b213-79d2db3273e2,supervisor@localhost,supervisor@localhost,heartbeat,inform,agent-health,indusguard-heartbeat,,sent,0
2026-07-20T10:45:12.267476Z,439f872b-adfd-40a2-bd80-32fdb70ee0ac,f4571ecb-e275-44e0-a3e0-8ddf9a689596,db2f6147-eefd-4b16-ae3e-16c52a860c4a,7508a5d2-3117-470c-bf73-98064909b935,vision@localhost,supervisor@localhost,heartbeat,inform,agent-health,indusguard-heartbeat,,sent,0
2026-07-20T10:45:12.254469Z,7cb2e9fd-3a32-428b-b098-83acf2d83c19,3f295b13-231c-4146-b967-16205fbf15ac,07fc5392-ed70-47d4-8d0b-15f8513b6d3f,bcf7ec69-0f72-4582-8070-d69a45153b55,vision@localhost,historian@localhost,historian.event,inform,historian,indusguard-pipeline,CONVEYOR-001,vision_detection_created,0
